"time"	"n.risk"	"n.event"	"n.censored"
0	140	0	0
0.109	140	0	0
0.109	140	1	0
0.167	139	0	0
0.167	139	1	0
0.209	138	0	0
0.209	138	1	0
0.255	137	0	0
0.255	137	1	0
0.504	136	0	0
0.506	136	1	1
0.84	134	0	0
0.842	134	1	0
0.85	133	0	0
0.85	133	0	0
1.169	133	1	0
1.171	132	2	0
1.189	130	0	0
1.191	130	1	0
1.291	129	0	0
1.291	129	1	0
1.339	128	0	0
1.34	128	1	0
1.403	127	0	0
1.403	127	1	0
1.503	126	0	0
1.505	126	1	0
1.632	125	0	0
1.632	125	1	0
1.817	124	0	0
1.817	124	1	0
1.856	123	0	0
1.856	123	1	0
2.054	122	0	0
2.054	122	1	0
2.122	121	0	0
2.124	121	1	0
2.171	120	0	0
2.171	120	1	0
2.188	119	0	0
2.19	119	1	0
2.266	118	0	0
2.266	118	1	0
2.339	117	0	0
2.339	117	1	0
2.364	116	0	0
2.364	116	1	0
2.373	115	0	0
2.373	115	1	0
2.514	114	0	0
2.514	114	1	0
2.571	113	0	0
2.575	113	1	0
2.736	112	0	0
2.737	112	1	0
2.783	111	0	0
2.783	111	1	0
2.82	110	0	0
2.82	110	1	0
2.949	109	0	0
2.951	109	1	0
3.075	108	0	0
3.078	108	1	0
3.161	107	0	0
3.165	107	1	0
3.339	106	0	0
3.339	106	1	0
3.482	105	0	0
3.482	105	1	0
3.57	104	0	0
3.573	104	2	0
3.616	102	0	0
3.616	102	1	0
3.646	101	0	0
3.646	101	1	0
3.709	100	0	0
3.709	100	1	0
3.814	99	0	0
3.817	99	1	0
3.902	98	0	0
3.904	98	1	0
4.012	97	0	0
4.012	97	1	0
4.053	96	0	0
4.053	96	1	0
4.445	95	0	0
4.445	95	1	0
4.611	94	0	0
4.613	94	1	0
4.682	93	0	0
4.686	93	2	0
4.748	91	0	0
4.748	91	1	0
4.82	90	0	0
4.823	90	1	0
4.845	89	0	0
4.85	89	1	0
4.965	88	0	0
4.965	88	1	0
4.996	87	0	0
