"time"	"n.risk"	"n.event"	"n.censored"
0	140	0	0
0.009	140	2	0
0.015	138	0	0
0.016	138	1	0
0.028	137	0	0
0.028	137	2	0
0.058	135	0	0
0.058	135	1	0
0.064	134	0	0
0.064	134	2	0
0.088	132	0	0
0.089	132	1	0
0.094	131	0	0
0.094	131	1	0
0.112	130	0	0
0.112	130	1	0
0.124	129	0	0
0.124	129	2	0
0.144	127	0	0
0.144	127	1	0
0.154	126	0	0
0.155	126	1	0
0.222	125	0	0
0.222	125	1	0
0.24	124	0	0
0.24	124	1	0
0.303	123	0	0
0.305	123	1	0
0.368	122	0	0
0.368	122	1	0
0.417	121	0	0
0.418	121	2	0
0.449	119	0	0
0.449	119	1	0
0.457	118	0	0
0.457	118	1	0
0.462	117	0	0
0.465	117	1	0
0.471	116	0	0
0.472	116	1	0
0.573	115	0	0
0.573	115	1	0
0.609	114	0	0
0.609	114	1	0
0.626	113	0	0
0.627	113	1	0
0.651	112	0	0
0.651	112	1	0
0.665	111	0	0
0.665	111	1	0
0.682	110	0	0
0.682	110	1	0
0.705	109	0	0
0.705	109	2	0
0.721	107	0	0
0.721	107	1	0
0.734	106	0	0
0.738	106	1	0
0.766	105	0	0
0.771	105	1	0
0.776	104	0	0
0.776	104	1	0
0.786	103	0	0
0.787	103	1	0
0.792	102	0	0
0.795	102	1	0
0.849	101	0	0
0.849	101	1	0
0.881	100	0	0
0.881	100	1	0
0.912	99	0	0
0.914	99	1	0
1.067	98	0	0
1.067	98	2	0
1.115	96	0	0
1.115	96	1	0
1.169	95	0	0
1.169	95	2	0
1.275	93	0	0
1.275	93	1	0
1.289	92	0	0
1.29	92	1	0
1.4	91	0	0
1.402	91	1	0
1.481	90	0	0
1.483	90	1	0
1.498	89	0	0
1.498	89	1	0
1.509	88	0	0
1.509	88	1	0
1.561	87	0	0
1.561	87	1	0
1.578	86	0	0
1.578	86	2	0
1.595	84	0	0
1.595	84	1	0
1.608	83	0	0
1.611	83	1	0
1.62	82	0	0
1.62	82	1	0
1.633	81	0	0
1.635	81	1	0
1.687	80	0	0
1.691	80	1	0
1.786	79	0	0
1.786	79	1	0
1.865	78	0	0
1.865	78	1	0
1.945	77	0	0
1.945	77	1	0
2.016	76	0	0
2.018	76	1	0
2.052	75	0	0
2.053	75	1	0
2.095	74	0	0
2.096	74	1	0
2.177	73	0	0
2.18	73	1	0
2.22	72	0	0
2.222	72	1	0
2.271	71	0	0
2.273	71	1	0
2.282	70	0	0
2.282	70	1	0
2.36	69	0	0
2.362	69	1	0
2.369	68	0	0
2.372	68	1	0
2.402	67	0	0
2.404	67	1	0
2.599	66	0	0
2.602	66	1	0
2.625	65	0	0
2.627	65	1	0
2.659	64	0	0
2.659	64	1	0
2.875	63	0	0
2.878	63	1	0
2.947	62	0	0
2.948	62	1	0
2.967	61	0	0
2.967	61	1	0
2.998	60	0	0
2.998	60	1	0
3.138	59	0	0
3.138	59	1	0
3.301	58	0	0
3.301	58	1	0
3.414	57	0	0
3.414	57	2	0
3.442	55	0	0
3.446	55	1	0
3.483	54	0	0
3.483	54	1	0
3.5	53	0	0
3.501	53	1	0
3.54	52	0	0
3.541	52	1	0
3.606	51	0	0
3.606	51	1	0
3.662	50	0	0
3.662	50	1	0
3.697	49	0	0
3.702	49	1	0
3.788	48	0	0
3.789	48	1	0
4.229	47	0	0
4.229	47	1	0
4.494	46	0	0
4.494	46	1	0
4.528	45	0	0
4.528	45	1	0
4.679	44	0	0
4.679	44	2	0
4.792	42	0	0
4.792	42	1	0
5	41	0	0
