k	Time	Sk
1	0	1
2	0.109	1
3	0.109	0.993
4	0.167	0.993
5	0.167	0.987
6	0.209	0.987
7	0.209	0.98
8	0.255	0.979
9	0.255	0.972
10	0.504	0.971
11	0.506	0.964
12	0.84	0.964
13	0.842	0.957
14	0.85	0.957
15	0.85	0.957
16	1.169	0.95
17	1.171	0.936
18	1.189	0.936
19	1.191	0.93
20	1.291	0.928
21	1.291	0.922
22	1.339	0.922
23	1.34	0.915
24	1.403	0.914
25	1.403	0.907
26	1.503	0.907
27	1.505	0.901
28	1.632	0.9
29	1.632	0.894
30	1.817	0.893
31	1.817	0.885
32	1.856	0.885
33	1.856	0.879
34	2.054	0.879
35	2.054	0.872
36	2.122	0.871
37	2.124	0.865
38	2.171	0.865
39	2.171	0.858
40	2.188	0.858
41	2.19	0.851
42	2.266	0.849
43	2.266	0.843
44	2.339	0.843
45	2.339	0.836
46	2.364	0.836
47	2.364	0.828
48	2.373	0.828
49	2.373	0.822
50	2.514	0.822
51	2.514	0.814
52	2.571	0.813
53	2.575	0.808
54	2.736	0.808
55	2.737	0.8
56	2.783	0.8
57	2.783	0.793
58	2.82	0.793
59	2.82	0.785
60	2.949	0.785
61	2.951	0.778
62	3.075	0.777
63	3.078	0.771
64	3.161	0.77
65	3.165	0.764
66	3.339	0.764
67	3.339	0.757
68	3.482	0.757
69	3.482	0.75
70	3.57	0.75
71	3.573	0.735
72	3.616	0.735
73	3.616	0.728
74	3.646	0.728
75	3.646	0.721
76	3.709	0.721
77	3.709	0.714
78	3.814	0.714
79	3.817	0.707
80	3.902	0.707
81	3.904	0.699
82	4.012	0.698
83	4.012	0.693
84	4.053	0.693
85	4.053	0.686
86	4.445	0.685
87	4.445	0.678
88	4.611	0.678
89	4.613	0.671
90	4.682	0.671
91	4.686	0.657
92	4.748	0.656
93	4.748	0.65
94	4.82	0.65
95	4.823	0.642
96	4.845	0.642
97	4.85	0.636
98	4.965	0.636
99	4.965	0.628
100	4.996	0.628
