k	Time	Sk
1	0	1
2	0.009	0.987
3	0.015	0.987
4	0.016	0.981
5	0.028	0.981
6	0.028	0.965
7	0.058	0.965
8	0.058	0.958
9	0.064	0.958
10	0.064	0.943
11	0.088	0.942
12	0.089	0.936
13	0.094	0.936
14	0.094	0.929
15	0.112	0.928
16	0.112	0.922
17	0.124	0.922
18	0.124	0.907
19	0.144	0.907
20	0.144	0.901
21	0.154	0.901
22	0.155	0.894
23	0.222	0.893
24	0.222	0.886
25	0.24	0.885
26	0.24	0.879
27	0.303	0.879
28	0.305	0.871
29	0.368	0.871
30	0.368	0.866
31	0.417	0.865
32	0.418	0.85
33	0.449	0.849
34	0.449	0.844
35	0.457	0.843
36	0.457	0.836
37	0.462	0.836
38	0.465	0.828
39	0.471	0.828
40	0.472	0.823
41	0.573	0.822
42	0.573	0.815
43	0.609	0.814
44	0.609	0.81
45	0.626	0.809
46	0.627	0.801
47	0.651	0.801
48	0.651	0.792
49	0.665	0.792
50	0.665	0.787
51	0.682	0.786
52	0.682	0.779
53	0.705	0.779
54	0.705	0.765
55	0.721	0.765
56	0.721	0.758
57	0.734	0.757
58	0.738	0.751
59	0.766	0.751
60	0.771	0.743
61	0.776	0.743
62	0.776	0.736
63	0.786	0.736
64	0.787	0.729
65	0.792	0.729
66	0.795	0.721
67	0.849	0.721
68	0.849	0.714
69	0.881	0.714
70	0.881	0.707
71	0.912	0.707
72	0.914	0.7
73	1.067	0.699
74	1.067	0.686
75	1.115	0.686
76	1.115	0.678
77	1.169	0.677
78	1.169	0.665
79	1.275	0.665
80	1.275	0.657
81	1.289	0.657
82	1.29	0.65
83	1.4	0.65
84	1.402	0.643
85	1.481	0.643
86	1.483	0.637
87	1.498	0.637
88	1.498	0.629
89	1.509	0.629
90	1.509	0.621
91	1.561	0.621
92	1.561	0.615
93	1.578	0.615
94	1.578	0.599
95	1.595	0.599
96	1.595	0.594
97	1.608	0.593
98	1.611	0.585
99	1.62	0.585
100	1.62	0.578
101	1.633	0.578
102	1.635	0.572
103	1.687	0.571
104	1.691	0.564
105	1.786	0.564
106	1.786	0.558
107	1.865	0.558
108	1.865	0.55
109	1.945	0.55
110	1.945	0.542
111	2.016	0.542
112	2.018	0.536
113	2.052	0.536
114	2.053	0.528
115	2.095	0.528
116	2.096	0.521
117	2.177	0.521
118	2.18	0.515
119	2.22	0.514
120	2.222	0.507
121	2.271	0.506
122	2.273	0.501
123	2.282	0.501
124	2.282	0.493
125	2.36	0.492
126	2.362	0.485
127	2.369	0.485
128	2.372	0.479
129	2.402	0.479
130	2.404	0.471
131	2.599	0.471
132	2.602	0.463
133	2.625	0.463
134	2.627	0.458
135	2.659	0.457
136	2.659	0.449
137	2.875	0.449
138	2.878	0.443
139	2.947	0.443
140	2.948	0.435
141	2.967	0.435
142	2.967	0.427
143	2.998	0.427
144	2.998	0.422
145	3.138	0.422
146	3.138	0.414
147	3.301	0.414
148	3.301	0.406
149	3.414	0.406
150	3.414	0.393
151	3.442	0.392
152	3.446	0.386
153	3.483	0.386
154	3.483	0.378
155	3.5	0.378
156	3.501	0.37
157	3.54	0.37
158	3.541	0.365
159	3.606	0.364
160	3.606	0.356
161	3.662	0.356
162	3.662	0.349
163	3.697	0.349
164	3.702	0.342
165	3.788	0.342
166	3.789	0.335
167	4.229	0.334
168	4.229	0.329
169	4.494	0.329
170	4.494	0.321
171	4.528	0.321
172	4.528	0.313
173	4.679	0.312
174	4.679	0.3
175	4.792	0.299
176	4.792	0.291
177	5	0.291
