Age,Sex,r.HD,p.HD
0,Female,0.003272,0.003266653
0,Male,0.003662,0.003655303
1,Female,0.000201,0.00020098
1,Male,0.000214,0.000213977
2,Female,9.40E-05,9.40E-05
2,Male,0.000202,0.00020198
3,Female,9.40E-05,9.40E-05
3,Male,0.000145,0.000144989
4,Female,9.10E-05,9.10E-05
4,Male,0.000163,0.000162987
5,Female,5.50E-05,5.50E-05
5,Male,5.30E-05,5.30E-05
6,Female,5.50E-05,5.50E-05
6,Male,5.30E-05,5.30E-05
7,Female,6.60E-05,6.60E-05
7,Male,3.10E-05,3.10E-05
8,Female,7.70E-05,7.70E-05
8,Male,0.000116,0.000115993
9,Female,7.70E-05,7.70E-05
9,Male,1.10E-05,1.10E-05
10,Female,0.000131,0.000130991
10,Male,5.20E-05,5.20E-05
11,Female,7.40E-05,7.40E-05
11,Male,6.10E-05,6.10E-05
12,Female,6.20E-05,6.20E-05
12,Male,0.000118,0.000117993
13,Female,5.00E-05,5.00E-05
13,Male,4.80E-05,4.80E-05
14,Female,7.00E-05,7.00E-05
14,Male,0.000134,0.000133991
15,Female,5.90E-05,5.90E-05
15,Male,0.000161,0.000160987
16,Female,9.90E-05,9.90E-05
16,Male,0.00015,0.000149989
17,Female,0.00012,0.000119993
17,Male,0.000237,0.000236972
18,Female,0.000212,0.000211978
18,Male,0.00026,0.000259966
19,Female,0.00018,0.000179984
19,Male,0.000295,0.000294956
20,Female,0.00026,0.000259966
20,Male,0.000346,0.00034594
21,Female,0.000116,0.000115993
21,Male,0.000431,0.000430907
22,Female,0.000199,0.00019898
22,Male,0.00044,0.000439903
23,Female,0.000207,0.000206979
23,Male,0.000411,0.000410916
24,Female,0.000212,0.000211978
24,Male,0.000323,0.000322948
25,Female,0.000165,0.000164986
25,Male,0.000408,0.000407917
26,Female,0.000241,0.000240971
26,Male,0.000452,0.000451898
27,Female,0.000228,0.000227974
27,Male,0.000428,0.000427908
28,Female,0.000399,0.00039892
28,Male,0.000399,0.00039892
29,Female,0.000246,0.00024597
29,Male,0.000419,0.000418912
30,Female,0.000352,0.000351938
30,Male,0.000507,0.000506871
31,Female,0.000371,0.000370931
31,Male,0.000499,0.000498876
32,Female,0.000376,0.000375929
32,Male,0.000633,0.0006328
33,Female,0.000362,0.000361934
33,Male,0.000596,0.000595822
34,Female,0.000365,0.000364933
34,Male,0.000619,0.000618808
35,Female,5.00E-04,0.000499875
35,Male,0.00073,0.000729734
36,Female,0.000501,0.000500875
36,Male,0.000559,0.000558844
37,Female,0.000557,0.000556845
37,Male,0.000698,0.000697756
38,Female,0.000526,0.000525862
38,Male,0.000679,0.00067877
39,Female,0.000621,0.000620807
39,Male,0.000633,0.0006328
40,Female,0.000747,0.000746721
40,Male,0.00094,0.000939558
41,Female,0.000621,0.000620807
41,Male,0.000965,0.000964535
42,Female,0.000765,0.000764707
42,Male,0.001122,0.001121371
43,Female,0.000789,0.000788689
43,Male,0.001431,0.001429977
44,Female,0.001046,0.001045453
44,Male,0.00149,0.001488891
45,Female,0.001104,0.001103391
45,Male,0.001658,0.001656626
46,Female,0.001262,0.001261204
46,Male,0.00161,0.001608705
47,Female,0.0013,0.001299155
47,Male,0.001756,0.001754459
48,Female,0.001648,0.001646643
48,Male,0.001923,0.001921152
49,Female,0.001633,0.001631667
49,Male,0.002012,0.002009977
50,Female,0.002006,0.002003989
50,Male,0.002269,0.002266428
51,Female,0.002506,0.002502863
51,Male,0.002745,0.002741236
52,Female,0.002716,0.002712315
52,Male,0.002984,0.002979552
53,Female,0.002694,0.002690374
53,Male,0.003473,0.003466976
54,Female,0.003107,0.003102178
54,Male,0.003804,0.003796774
55,Female,0.003257,0.003251702
55,Male,0.00424,0.004231024
56,Female,0.00399,0.003982051
56,Male,0.005003,0.004990506
57,Female,0.004325,0.004315661
57,Male,0.005347,0.00533273
58,Female,0.004464,0.004454051
58,Male,0.005403,0.00538843
59,Female,0.004943,0.004930803
59,Male,0.006314,0.006294109
60,Female,0.005215,0.005201425
60,Male,0.00735,0.007323055
61,Female,0.00564,0.005624125
61,Male,0.007975,0.007943284
62,Female,0.006665,0.006642838
62,Male,0.009177,0.00913502
63,Female,0.006747,0.00672429
63,Male,0.01008,0.010029367
64,Female,0.00708,0.007054996
64,Male,0.010281,0.010228331
65,Female,0.008426,0.008390601
65,Male,0.01186,0.011789947
66,Female,0.008426,0.008390601
66,Male,0.012654,0.012574275
67,Female,0.009946,0.009896702
67,Male,0.014537,0.014431848
68,Female,0.01066,0.010603384
68,Male,0.015728,0.015604961
69,Female,0.011199,0.011136525
69,Male,0.016888,0.016746197
70,Female,0.012766,0.01268486
70,Male,0.018853,0.018676394
71,Female,0.013602,0.013509911
71,Male,0.020879,0.020662543
72,Female,0.014924,0.014813189
72,Male,0.023738,0.02345847
73,Female,0.016246,0.016114745
73,Male,0.025722,0.025394008
74,Female,0.018962,0.018783352
74,Male,0.030018,0.029571934
75,Female,0.020207,0.020004207
75,Male,0.031494,0.03100323
76,Female,0.022838,0.022579187
76,Male,0.035992,0.035351989
77,Female,0.026166,0.025826637
77,Male,0.040221,0.039422872
78,Female,0.028872,0.028459186
78,Male,0.044294,0.043327346
79,Female,0.033295,0.032746822
79,Male,0.051781,0.050463207
80,Female,0.038517,0.037784653
80,Male,0.060492,0.058698701
81,Female,0.042594,0.041699619
81,Male,0.066799,0.064616806
82,Female,0.050405,0.049155745
82,Male,0.076763,0.073890684
83,Female,0.058702,0.057012262
83,Male,0.088144,0.084370983
84,Female,0.066623,0.064452164
84,Male,0.096784,0.092247941
85,Female,0.078276,0.075290828
85,Male,0.115393,0.108984094
86,Female,0.089749,0.085839389
86,Male,0.125423,0.117876315
87,Female,0.103192,0.098046218
87,Male,0.143376,0.133571769
88,Female,0.119602,0.112726499
88,Male,0.158237,0.146352556
89,Female,0.140437,0.131021591
89,Male,0.180164,0.164866762
90,Female,0.163402,0.150750279
90,Male,0.203413,0.184058812
91,Female,0.180757,0.165361849
91,Male,0.224826,0.201344827
92,Female,0.209935,0.189363064
92,Male,0.26044,0.229287602
93,Female,0.218156,0.195999992
93,Male,0.275954,0.241152163
94,Female,0.25722,0.226801909
